Titre
Astérix - Tome 40 - L'Iris blanc
Kilomètre zéro : Le chemin du bonheur
Le Suppléant
Les quatre accords toltèques: La voie de la liberté personnelle
"Juste la fin du monde, Jean-Luc Lagarce - Bac de français 2024"
Les apprentis sorciers
Son odeur après la pluie
Manon Lescaut
Jamais plus
Tout le bleu du ciel
Antigone
Influence et manipulation - 3e édition augmentée 
Pagny par Florent
"Le Monde sans fin, miracle énergétique et dérive climatique"
Faites votre glucose révolution - La formule scientifique efficace pour perdre du poids et retrouver votre énergie
Déclaration des droits de la femme et de la citoyenne
Sido suivi de Les Vrilles de la vigne (Edition pédagogique) BAC
Captive - tome 2
The Legend of Zelda: Tears of the Kingdom - Le guide officiel complet - Édition collector - Version française
Veiller sur elle
Gaston - Tome 22 - Le retour de Lagaffe
"Cahiers de Douai (oeuvre au programme Bac de français 2026, 1re générale & techno): suivi du parcours « Émancipations créatrices »"
Atlas - L'histoire de Pa Salt
"ZERO CONTRAINTE POUR MAIGRIR - SURTOUT, NE FAITES PAS DE REG"
Respire !: Le Plan est toujours parfait
La tresse
"Le pouvoir du moment présent - Guide d'éveil spirituelBD Mortelle Adèle, Tome 01: Tout ça finira mal"
Mille baisers pour un garçon
"BD Mortelle Adèle, Tome 01: Tout ça finira mal"
"Parce que tu es un garçon formidable: Des histoires inspirantes sur le courage, la force intérieure et la confiance en soi"
BD Mortelle Adèle - Tome 20 J'apocalypse grave !
"Tu verras, les âmes se retrouvent toujours quelque part"
Il nous restera ça
La mort n'existe pas: L'enquête best-seller de 2024 sur l'après-vie pour gagner en sérénité face à la mort
VENDREADI OU LA VIE SAUVAGE
LA PETITE ENCYCLOPEDIE DES POURQUOI
L'étranger
Bescherelle La conjugaison pour tous: pour conjuguer les verbes français sans faute
Finies les fautes: Les 101 règles de français que vous n'oublierez plus jamais
"BD Mortelle Adèle, Tome 02: L'enfer, c'est les autres"
"Maia (Les sept Soeurs, Tome 1)"
LE PETIT PRINCE
Personne ne doit savoir
Code de la route 2023
La rivière à l'envers - 1er vol: Tomek
Harry Potter et le prisonnier d'Azkaban - Édition illustrée interactive: Graphisme et illustrations de Mina Lima
"La Soeur de la tempête (Les sept Soeurs, Tome 2)"
À tout jamais
